review_id,element_id,rating,ground_truth,predicted,score,text,reason
"R2BP8Y5OJXKJLF,R218813TNRHNSY,R3VIKEVJ5DBF5G,R2PQNCTR8TQCT4,R3FI11UEJC9ZOJ,R3ULCCZZHBNLA4,RELIQ4H7CYX2Q,R3ALQNTJN4ER9N",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475038,4.1,Positive,Negative,-0.1887,"Check for offera before buying,18w charging cable,,Awesome cable!Charging, data transfer and durability is simply awesome, and there is not a single disconnection issue, which I always faced in original mi cable from box. Bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and I never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy, i also have boat earphones that is also awesome..😄,Good,Charging is very slow. Forget about fast charging. Not useful at all,Cable is not fit properly on my samsung galaxy m31 type C port. If little hit happens then cable is plug it out. Otherwise length and cable quality is very nice,Boat type C cable doesn't support fast charging on Oppo F15, earlier i was using Vooc cable, which worked excellent",Barang Rusak
"R1SN0D4DFBKAZI,R1SX5L77L2CD6V,R1NAZ6M4QBUJMK,R25I5FXOJA76KS,R32V7DQLDSKJ99,R8QWY8HXI120P,R2OZPGGMUCLSC1,R1G4SA1P865EIS",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475042,4.3,Positive,Negative,-0.8476,"Overall good.,TV picture ok smart betterSound very low another brand,Service provider refuse install my TV, bad service and samsung, I am calling 3 times service provider. Not meet my home address.why ? Bad bad,They product did not come with the support stand or wall hanging hook to install the Tv,Picture quality is very poor in cables,Floor stand does not come with it ... You have to buy it seperately. Request Amazon to cleary mention it in the add . You will have to pay seperate charges for the installation guy to buy the floor mount .,Good,",Sentimen Negatif Umum
"R1SN0D4DFBKAZI,R1SX5L77L2CD6V,R1NAZ6M4QBUJMK,R25I5FXOJA76KS,R32V7DQLDSKJ99,R8QWY8HXI120P,R2OZPGGMUCLSC1,R1G4SA1P865EIS",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160290,4.3,Positive,Negative,-0.8476,"Overall good.,TV picture ok smart betterSound very low another brand,Service provider refuse install my TV, bad service and samsung, I am calling 3 times service provider. Not meet my home address.why ? Bad bad,They product did not come with the support stand or wall hanging hook to install the Tv,Picture quality is very poor in cables,Floor stand does not come with it ... You have to buy it seperately. Request Amazon to cleary mention it in the add . You will have to pay seperate charges for the installation guy to buy the floor mount .,Good,",Sentimen Negatif Umum
"R2J3Q3BUHJ2S7E,R2H2ELE1DG24VY,R1U1S7X7BPSZBU,R9XVQWX40D175,REHUMWC9Q9EAG,RLEFI0WUITF14,R1M41TK6XDE47C,RUM8TBPKUE5UF",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475057,4.2,Positive,Negative,-0.9821,"I am posting this after a few weeks of using the product.Usage: Continuous, OTT only, no Cable/Dish operator.Average daily usage: 6-8 hours.The TV is a great value-for-money product.Installation: The installation was simple and Amazon assisted installation was smooth, timely and hassle-free.Picture: The picture quality is not great when compared with the smoothness of a Sony, LG and Samsung with these kind of specs. Movies and especially hi-res TV series experience was somewhat diluted as most of the times, the output, while in hi-res , wouldn't look like a movie quality which we are used to of watching in the likes of Sony, Samsung LG etc however, with time, you get used to it and only realize the difference when you see the same movie at someone else's better TV.Sound: Sound output is decent. You wouldn't need additional support to enhance the volume as such.Remote: Sleek, sensitive and user-friendly. It's exactly like Amazon's remote.OS: Same as any smart Android TV. Works smoothly without much lags or hiccups. Switching apps from one to another takes a a couple of seconds more than Sony but unless you have used to of those performances, it looks just fine.Standalone and as your first smart TV,  you wouldn't find any reasons to not like the quality and it would like hi-res from the beginning. It is a great value for money product without a doubt.However, if you are considering this as an alternative or second TV after owning the better ones in the past, you will have a hard time adjusting with it.,Picture quality is good for this price, didn’t faced any lag on UI and browsing other apps. Only negative will be audio, definitely need a sound bar if u are a frequent movie watcher. Overall worth for money u spend. But the installation process is just awful, Amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals , just read the installation manuals and installed the wall mount which took 4hours for them to buy the wall mount after charging money. No demo given on Tv as they have no idea about the product, these things making to think twice or thrice to buy a tv through online.,Screen looks amazing but problem is with processor I believe. If 4k content is getting streamed on device then we can observe the green screen flickers(not so often but problem exists), even remote control is not good as it take at least 2 sec to react for the user action.Reason why I believe processor is bad because I do 4k gaming using PS5 and never encountered problem with the screen.,If you buy TV in a small town shop, it will be delivered and installed immediately within couple of hours. When you want to buy a TV from Amazon, you need to wait for it to be delivered for couple of days and it is understandable. The problem is with the installation, they take so much time to install that you end up regretting buying the product. It’s like you are hungry and food is in front of you but you can’t eat. So I ordered my TV on Monday, it got delivered on Friday and it will be installed on Monday because of weekend where as there is no concept of weekend in small towns. If we had the technician details, we could reach out  s get it installed but that also will be shared 4 hours before.Regarding product, it’s good quality and very good for a average user. Heavy duty like games and continuous usage on some store will be challenging, I guess.,This TV gives good results within the budget, should definitely buy if the budget is 30k but most important point like to mention is after sales service and also the installation part.1) The installation guy didn’t arrive at very first day that was scheduled, even after rescheduling he didn’t came for installation purpose. So strictly be aware of this point.2) The TV I got in offer with 3k discount on ICICI card but although the product came out defective, it had dead pixel on the display which is very bad after period of time.3) Even after the fault was from seller as it was defective piece I didn’t got the replacement for the product and it’s totally unfair deal by Amazon and the seller too.Final verdict is the TV quality and feature are good but the service from seller and Amazon that is got was very poor inspite I was prime member. The seller DAWNTECH ELECTRONICS PRIVATE LIMITED gives very poor service and feel bad that in such cases Amazon will not help you. Thankyou,Team,Also to be added TV installation services with product while delivering and unboxing. NO need to other sub-vendor to getting installation and demo. Also dependency on third-party involvement should be less.Bad experience with TV installation stuff.Pls look into this .,Picture quality good. Sound quality  not upto my 3xpectations. Not able to find the real Dolby stereo effect. Remote not upto the mark.4 ⭐ for picture quality, 3⭐ for both sound and remote quality,Good quality picture but it hangs on home screen",Isu Harga
"R2J3Q3BUHJ2S7E,R2H2ELE1DG24VY,R1U1S7X7BPSZBU,R9XVQWX40D175,REHUMWC9Q9EAG,RLEFI0WUITF14,R1M41TK6XDE47C,RUM8TBPKUE5UF",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160305,4.2,Positive,Negative,-0.9821,"I am posting this after a few weeks of using the product.Usage: Continuous, OTT only, no Cable/Dish operator.Average daily usage: 6-8 hours.The TV is a great value-for-money product.Installation: The installation was simple and Amazon assisted installation was smooth, timely and hassle-free.Picture: The picture quality is not great when compared with the smoothness of a Sony, LG and Samsung with these kind of specs. Movies and especially hi-res TV series experience was somewhat diluted as most of the times, the output, while in hi-res , wouldn't look like a movie quality which we are used to of watching in the likes of Sony, Samsung LG etc however, with time, you get used to it and only realize the difference when you see the same movie at someone else's better TV.Sound: Sound output is decent. You wouldn't need additional support to enhance the volume as such.Remote: Sleek, sensitive and user-friendly. It's exactly like Amazon's remote.OS: Same as any smart Android TV. Works smoothly without much lags or hiccups. Switching apps from one to another takes a a couple of seconds more than Sony but unless you have used to of those performances, it looks just fine.Standalone and as your first smart TV,  you wouldn't find any reasons to not like the quality and it would like hi-res from the beginning. It is a great value for money product without a doubt.However, if you are considering this as an alternative or second TV after owning the better ones in the past, you will have a hard time adjusting with it.,Picture quality is good for this price, didn’t faced any lag on UI and browsing other apps. Only negative will be audio, definitely need a sound bar if u are a frequent movie watcher. Overall worth for money u spend. But the installation process is just awful, Amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals , just read the installation manuals and installed the wall mount which took 4hours for them to buy the wall mount after charging money. No demo given on Tv as they have no idea about the product, these things making to think twice or thrice to buy a tv through online.,Screen looks amazing but problem is with processor I believe. If 4k content is getting streamed on device then we can observe the green screen flickers(not so often but problem exists), even remote control is not good as it take at least 2 sec to react for the user action.Reason why I believe processor is bad because I do 4k gaming using PS5 and never encountered problem with the screen.,If you buy TV in a small town shop, it will be delivered and installed immediately within couple of hours. When you want to buy a TV from Amazon, you need to wait for it to be delivered for couple of days and it is understandable. The problem is with the installation, they take so much time to install that you end up regretting buying the product. It’s like you are hungry and food is in front of you but you can’t eat. So I ordered my TV on Monday, it got delivered on Friday and it will be installed on Monday because of weekend where as there is no concept of weekend in small towns. If we had the technician details, we could reach out  s get it installed but that also will be shared 4 hours before.Regarding product, it’s good quality and very good for a average user. Heavy duty like games and continuous usage on some store will be challenging, I guess.,This TV gives good results within the budget, should definitely buy if the budget is 30k but most important point like to mention is after sales service and also the installation part.1) The installation guy didn’t arrive at very first day that was scheduled, even after rescheduling he didn’t came for installation purpose. So strictly be aware of this point.2) The TV I got in offer with 3k discount on ICICI card but although the product came out defective, it had dead pixel on the display which is very bad after period of time.3) Even after the fault was from seller as it was defective piece I didn’t got the replacement for the product and it’s totally unfair deal by Amazon and the seller too.Final verdict is the TV quality and feature are good but the service from seller and Amazon that is got was very poor inspite I was prime member. The seller DAWNTECH ELECTRONICS PRIVATE LIMITED gives very poor service and feel bad that in such cases Amazon will not help you. Thankyou,Team,Also to be added TV installation services with product while delivering and unboxing. NO need to other sub-vendor to getting installation and demo. Also dependency on third-party involvement should be less.Bad experience with TV installation stuff.Pls look into this .,Picture quality good. Sound quality  not upto my 3xpectations. Not able to find the real Dolby stereo effect. Remote not upto the mark.4 ⭐ for picture quality, 3⭐ for both sound and remote quality,Good quality picture but it hangs on home screen",Isu Harga
"R306AVQBBWQ1YE,R2QUKWK9SVJK5Y,R1DC9LG4LVK25,R2AUE6YKA26YXZ,R390FSCLMOWBPU,R2HMOFBLHZ3014,R1U4128PGOJW3J,R1LB6DVEJPMA1Q",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475113,4.1,Positive,Negative,-0.8288,"It's awesome product. Fast mobile charging cable. I like it.,Good product just wish it was available in black white gets dirty easily.,For a month I had no issues with this, then it started becoming more and more useless. Don't buy it. It looks alright but it is as bad as a local cable. My phone charges slowly, have to disconnect and connect the cables from the ports and reassemble them and still it would reduce the battery. I haven't used a worse cable. Very disappointing and money waste. Also, the packaging was open and not sealed when I recieved it. The seller is a fraud.,Little more grip should be given while plugin out on type-C pin side.so, it can smoothly remove instead of sudden out with little jerk.,first of all it has 'L' shaped port for easy to use while on charge as i'am using it for my car for android auto.over-all its excellent.,https://m.media-amazon.com/images/I/81UCbJvmdmL._SY88.jpg,Realme 6 30W fast charging adapter. Its a slow charging cable vooc not support,Though they call it as fast charging cable, it actually is NOT a fast charging cable.I tried it with my samsung fast charging adapter. Its a slow charging cable, but the look, sturdiness etc are impressive.Planning to return the product.",Ada kata 'Tapi' (Kontras)
"R9PTPIYPJWRIL,R8LD3TIJ6NJ6U,R1T72BEQOOS87D,R1WE2LG38IKMZL,R8K3FFKBEQUL8,REYYFWWGQT2H1,R2HU2LG1GPCLZ8,R2FQGWWXRQC54V",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475122,4.3,Positive,Negative,-0.2621,"Seems OK. Have not tried it with HD quality videos. Value for money.,Very high and in budget hdmi cable by amazon basic,Nice,I bought this for my android tv stick and it works very good with it.Quality of the cable is very good and rich.It doesn't lose the picture and sound quality of TV stick,It is working as expected,I purchased splitter but it didn’t work properly and ordered for hdmi male female wire which helped me to view sources properly,Good. Serves the purpose. Had to buy this as for some weird reason the amazon firestick (bern working for 3 years) is no longer working when connected to my Samsung TVs HDMI port (all 4 ports). Searching in google did not help as this issue seem to be common with Samsung TVs but with no possible solution. So wanted to check if the firestick works in my computer monitor but the HDMI slot in the monitor was unreachable for a direct connection and hence bought this cable. The firestick worked well with monitor. What's even weirder is the firestick works fine when connected to the same Samsung TV using this cable. Problem solved, although no clue how the hell it got fixed :),The quality of this cable is quite good. Been using it for a couple of months now, to connect a laptop or a desktop to a Dell monitor. Picture quality for Full HD works fine along with sound output, not sure about 4K though since I don't have a 4K monitor. Price should be less than Rs. 250 which I paid, should be in the Rs. 100/- to Rs. 150/- considering the quality and other alternative products available in the brick and mortar stores. If you are willing to pay a bit extra then this is just fine.",Isu Harga
"RLWAYTZH1YOFR,R3IOG04KDBKXTQ,R35LSY4BN61KLY,R2G97CU5VMMLET,R221NM5M3SY0PW,R112AEM8D2X3S7,R3VM7P3773KRV,R3VUA0WWCNQK33",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475128,4.2,Positive,Negative,-0.6181,"https://m.media-amazon.com/images/I/71SaXlf9TZL._SY88.jpg,Small cable otherwise good,,I like the product.,Quality is good but after a month immediately I lose 9% of battery health so that’s why I stop using it,Not sturdy, cable will break in just weeks,i suggest this product,Nice",Ada kata 'Tapi' (Kontras)
R38OAD16RVS9D4,5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475142,4.3,Positive,Negative,-0.7926,"tv on off not working, so difficult to battery really a bad product",Sentimen Negatif Umum
"R3H60TG402OZD8,R2CJE6HW5IT8NP,R15OCQTCIZTAM2,R189FSK478PCLU,R3CG5XECVMORBQ,RGT4RR0V5DWT3,R20NRWZ90XNLVG,R28JW2A6JPGERW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475167,4.1,Positive,Negative,-0.6026,"Good one,Perfect one,I like its built, charging power to my phone is adequate...very good so far,mostly like.*****,Received today duracell charging cable. Depending on customers reviews and duracell brand I purchased this cable. But regret to say that charging speed is very very low.. I charged my tablet and within one and a half hour only 10 percent charged.  Not at all satisfied with the product.,The quality of wire and usb pin is good but it charge mobile little slow than the charger provided with mobile by oppo / real me / samsung.,Was working well but suddenly stopped working within 6 months of purchase.,Best product",Ada kata 'Tapi' (Kontras)
